tweet_id,date,location,symptoms
1201586331891179520,2019-12-02,"Texas, USA",fever
1201580391007707136,2019-12-02,"Texas, USA",fever
1201556726379663360,2019-12-02,"Texas, USA",fever
1201365827896954880,2019-12-02,"Texas, USA",fever
1201361992419819520,2019-12-02,"Texas, USA",fever
1201360634341756928,2019-12-02,"Texas, USA",fever
1201321762165841920,2019-12-02,"Texas, USA",fever
1201355493228199936,2019-12-02,"Utah, USA",cough
1201552241859141632,2019-12-02,"Virginia, USA",cough
1201518719475867648,2019-12-02,"Virginia, USA",cough
1201311703251717888,2019-12-02,"Virginia, USA",cough
1201313618127708160,2019-12-02,"Virginia, USA",fever
1201646570648883200,2019-12-02,"Washington, DC",fever
1201470042778550272,2019-12-02,"Washington, DC",fever
1201374437938888704,2019-12-02,"Washington, USA",cough
1201579669537075200,2019-12-02,"Washington, USA",fever
1201566332577300480,2019-12-02,"Washington, USA",fever
1201506334576910336,2019-12-02,"Wisconsin, USA",cough
1201888139083599872,2019-12-03,"Arizona, USA",fever
1201990492365324288,2019-12-03,"California, USA",cough
1201980405563285504,2019-12-03,"California, USA",cough
1201978026021408768,2019-12-03,"California, USA",cough
1201790909366579200,2019-12-03,"California, USA",cough
1201786286916304896,2019-12-03,"California, USA",cough
1201766924876541952,2019-12-03,"California, USA",cough
1201766799764668416,2019-12-03,"California, USA",cough
1201954908502540288,2019-12-03,"California, USA",fever
1201899432716849152,2019-12-03,"California, USA",fever
1201808653952544768,2019-12-03,"California, USA",fever
1201686808737632512,2019-12-03,"California, USA",fever
1201680559631671296,2019-12-03,"California, USA",fever
1201759408998551552,2019-12-03,"Connecticut, USA",cough
1201914158314377216,2019-12-03,"Florida, USA",cough
1201866234201092096,2019-12-03,"Florida, USA",cough
1201667627455832064,2019-12-03,"Florida, USA",cough
1201935132749418496,2019-12-03,"Florida, USA",fever
1201884997948452864,2019-12-03,"Florida, USA",fever
1201677031831998464,2019-12-03,"Florida, USA",fever
1201986938867204096,2019-12-03,"Georgia, USA",cough
1201944676988833792,2019-12-03,"Georgia, USA",cough
1201669075933507584,2019-12-03,"Georgia, USA",cough
1202014206901534720,2019-12-03,"Georgia, USA",fever
1201947611709812736,2019-12-03,"Illinois, USA",cough
